Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,14,9,Some Random Commen with Id 0
1,0,6,153,9,Some Random Commen with Id 1
2,0,6,66,6,Some Random Commen with Id 2
3,0,6,187,3,Some Random Commen with Id 3
4,0,6,101,3,Some Random Commen with Id 4
5,0,6,101,8,Some Random Commen with Id 5
6,1,6,197,9,Some Random Commen with Id 6
7,1,6,120,0,Some Random Commen with Id 7
8,2,0,57,1,Some Random Commen with Id 8
9,2,0,54,4,Some Random Commen with Id 9
10,2,0,33,9,Some Random Commen with Id 10
11,3,1,15,4,Some Random Commen with Id 11
12,3,1,189,8,Some Random Commen with Id 12
13,3,1,193,5,Some Random Commen with Id 13
14,3,1,67,9,Some Random Commen with Id 14
15,3,1,93,0,Some Random Commen with Id 15
16,3,1,71,6,Some Random Commen with Id 16
17,4,9,33,0,Some Random Commen with Id 17
18,4,9,106,4,Some Random Commen with Id 18
19,4,9,0,5,Some Random Commen with Id 19
20,4,9,58,3,Some Random Commen with Id 20
21,4,9,100,4,Some Random Commen with Id 21
22,4,9,165,0,Some Random Commen with Id 22
23,5,5,130,7,Some Random Commen with Id 23
24,5,5,29,5,Some Random Commen with Id 24
25,5,5,49,4,Some Random Commen with Id 25
26,5,5,40,9,Some Random Commen with Id 26
27,5,5,10,7,Some Random Commen with Id 27
28,5,5,172,1,Some Random Commen with Id 28
29,5,5,162,4,Some Random Commen with Id 29
30,5,5,83,7,Some Random Commen with Id 30
31,5,5,32,6,Some Random Commen with Id 31
32,6,3,182,0,Some Random Commen with Id 32
33,6,3,27,1,Some Random Commen with Id 33
34,6,3,179,2,Some Random Commen with Id 34
35,6,3,150,7,Some Random Commen with Id 35
36,6,3,29,1,Some Random Commen with Id 36
37,6,3,78,2,Some Random Commen with Id 37
38,6,3,68,0,Some Random Commen with Id 38
39,6,3,23,9,Some Random Commen with Id 39
40,6,3,33,0,Some Random Commen with Id 40
41,7,9,5,6,Some Random Commen with Id 41
42,7,9,72,0,Some Random Commen with Id 42
43,7,9,14,2,Some Random Commen with Id 43
44,8,8,188,0,Some Random Commen with Id 44
45,8,8,13,2,Some Random Commen with Id 45
46,9,0,187,1,Some Random Commen with Id 46
47,9,0,80,1,Some Random Commen with Id 47
48,9,0,149,5,Some Random Commen with Id 48
49,10,4,4,3,Some Random Commen with Id 49
50,11,6,166,9,Some Random Commen with Id 50
51,11,6,146,3,Some Random Commen with Id 51
52,11,6,144,5,Some Random Commen with Id 52
53,11,6,182,1,Some Random Commen with Id 53
54,11,6,155,5,Some Random Commen with Id 54
55,11,6,188,8,Some Random Commen with Id 55
56,11,6,33,5,Some Random Commen with Id 56
57,11,6,191,6,Some Random Commen with Id 57
58,12,6,114,0,Some Random Commen with Id 58
59,12,6,67,7,Some Random Commen with Id 59
60,14,5,58,5,Some Random Commen with Id 60
61,14,5,44,6,Some Random Commen with Id 61
62,15,0,88,4,Some Random Commen with Id 62
63,15,0,41,1,Some Random Commen with Id 63
64,16,2,32,5,Some Random Commen with Id 64
65,16,2,88,1,Some Random Commen with Id 65
66,17,7,163,5,Some Random Commen with Id 66
67,17,7,76,0,Some Random Commen with Id 67
68,17,7,146,9,Some Random Commen with Id 68
69,17,7,8,1,Some Random Commen with Id 69
70,17,7,40,0,Some Random Commen with Id 70
71,17,7,174,0,Some Random Commen with Id 71
72,18,2,111,2,Some Random Commen with Id 72
73,18,2,130,4,Some Random Commen with Id 73
74,18,2,118,6,Some Random Commen with Id 74
75,18,2,144,7,Some Random Commen with Id 75
76,18,2,96,4,Some Random Commen with Id 76
77,18,2,155,8,Some Random Commen with Id 77
78,18,2,72,1,Some Random Commen with Id 78
79,19,1,87,0,Some Random Commen with Id 79
80,19,1,53,0,Some Random Commen with Id 80
81,19,1,112,6,Some Random Commen with Id 81
82,19,1,22,4,Some Random Commen with Id 82
83,19,1,82,5,Some Random Commen with Id 83
84,19,1,125,0,Some Random Commen with Id 84
85,19,1,22,8,Some Random Commen with Id 85
86,20,2,145,8,Some Random Commen with Id 86
87,20,2,161,1,Some Random Commen with Id 87
88,20,2,67,0,Some Random Commen with Id 88
89,20,2,98,0,Some Random Commen with Id 89
90,20,2,5,4,Some Random Commen with Id 90
91,20,2,146,2,Some Random Commen with Id 91
92,20,2,106,8,Some Random Commen with Id 92
93,20,2,149,3,Some Random Commen with Id 93
94,20,2,188,2,Some Random Commen with Id 94
95,21,0,191,6,Some Random Commen with Id 95
96,21,0,86,2,Some Random Commen with Id 96
97,21,0,171,3,Some Random Commen with Id 97
98,21,0,143,9,Some Random Commen with Id 98
99,21,0,43,3,Some Random Commen with Id 99
100,22,3,162,9,Some Random Commen with Id 100
101,22,3,14,5,Some Random Commen with Id 101
102,23,7,81,2,Some Random Commen with Id 102
103,24,5,32,4,Some Random Commen with Id 103
104,25,2,60,0,Some Random Commen with Id 104
105,26,5,127,2,Some Random Commen with Id 105
106,26,5,157,9,Some Random Commen with Id 106
107,26,5,151,5,Some Random Commen with Id 107
108,27,7,97,7,Some Random Commen with Id 108
109,27,7,71,7,Some Random Commen with Id 109
110,27,7,143,4,Some Random Commen with Id 110
111,27,7,176,0,Some Random Commen with Id 111
112,28,8,64,5,Some Random Commen with Id 112
113,28,8,187,8,Some Random Commen with Id 113
114,28,8,143,2,Some Random Commen with Id 114
115,28,8,168,1,Some Random Commen with Id 115
116,29,5,198,9,Some Random Commen with Id 116
117,29,5,145,7,Some Random Commen with Id 117
118,29,5,112,1,Some Random Commen with Id 118
119,29,5,150,9,Some Random Commen with Id 119
120,29,5,147,6,Some Random Commen with Id 120
121,29,5,179,3,Some Random Commen with Id 121
122,29,5,176,4,Some Random Commen with Id 122
123,30,1,176,6,Some Random Commen with Id 123
124,30,1,142,1,Some Random Commen with Id 124
125,30,1,95,4,Some Random Commen with Id 125
126,30,1,23,2,Some Random Commen with Id 126
127,30,1,115,3,Some Random Commen with Id 127
128,31,4,166,9,Some Random Commen with Id 128
129,31,4,178,0,Some Random Commen with Id 129
130,31,4,79,5,Some Random Commen with Id 130
131,31,4,88,8,Some Random Commen with Id 131
132,31,4,88,0,Some Random Commen with Id 132
133,31,4,149,5,Some Random Commen with Id 133
134,32,8,178,2,Some Random Commen with Id 134
135,32,8,8,1,Some Random Commen with Id 135
136,32,8,126,0,Some Random Commen with Id 136
137,32,8,178,0,Some Random Commen with Id 137
